0.044799,1.1998e-05,-0.1292,1.4395e-05,-0.87626,2.2516e-05
0.04488,1.1852e-05,-0.12919,1.7923e-05,-0.8763,2.3364e-05
0.044939,1.5295e-05,-0.12924,1.8874e-05,-0.87632,2.3455e-05
0.044984,1.3845e-05,-0.12921,2.0424e-05,-0.87636,2.5084e-05
0.045021,1.1476e-05,-0.12919,1.9134e-05,-0.87639,2.4387e-05
0.045053,6.0866e-06,-0.12916,1.2455e-05,-0.87642,2.1908e-05
0.045085,2.0677e-05,-0.12919,4.6114e-05,-0.87643,2.6093e-05
0.045113,1.0257e-05,-0.12918,2.184e-05,-0.87645,2.5372e-05
0.045137,1.0784e-05,-0.1292,2.2568e-05,-0.87646,2.4957e-05
0.045156,1.9195e-05,-0.12919,2.4782e-05,-0.87647,2.9048e-05
